=== AStar_v1_1 alpha/d_ref 参数敏感性分析 ===
时间: 20260829_222939
总耗时: 1.8 秒

--- 实验配置 ---
地图: Map1, Map2_kong, 迷宫
alpha: [0.1, ..., 0.8] (8 级)
d_ref: [0.02, ..., 0.15] (7 级)
重复: 1 次

--- 参数说明 ---
alpha: 最大额外权重 [0.1, 0.8]
       越大 → 开阔区域越贪心（路径更短但可能绕远）
       越小 → 越接近标准 A*（更稳定但搜索更慢）
d_ref: 障碍物距离阈值(占地图对角距离百分比) [0.02, 0.15]
       越小 → 障碍物影响范围越窄（只有紧贴障碍物才减速）
       越大 → 障碍物影响范围越广（提前减速，路径更安全）

--- Map1 ---
地图大小: 50, 起点: [3,3], 终点: [48,48], 障碍物: 585
   alpha    d_ref |       扩展节点       路径代价       路径长度     最大Open     耗时(ms)
     0.4     0.10 |       1133     115.54         95        317       18.7
     0.4     0.12 |       1343     114.95         94        330       21.2
     0.4     0.15 |       1521     114.37         93        292       24.0
     0.5     0.02 |        639     129.30        110        529       12.2
     0.5     0.04 |        778     122.47        104        499       14.7
     0.5     0.06 |       1308     122.47        104        448       21.2
     0.5     0.08 |        921     117.54         97        386       16.4
     0.5     0.10 |       1247     118.12         98        376       19.8
     0.5     0.12 |       1282     116.71         97        341       20.9
     0.5     0.15 |       1308     114.95         94        349       20.0
     0.6     0.02 |        578     132.47        114        450       12.4
     0.6     0.04 |        914     126.12        106        552       16.1
     0.6     0.06 |       1038     123.64        106        477       18.5
     0.6     0.08 |        895     119.88        101        402       15.9
     0.6     0.10 |        929     117.54         97        384       16.5
     0.6     0.12 |       1222     118.12         98        381       20.7
     0.6     0.15 |       1293     116.71         97        341       22.2
     0.7     0.02 |        540     136.23        119        452       10.4
     0.7     0.04 |        673     126.71        107        525       13.9
     0.7     0.06 |        999     121.30        102        548       35.7
     0.7     0.08 |        941     120.71        101        428       21.3
     0.7     0.10 |        897     119.88        101        373       15.6
     0.7     0.12 |        932     117.54         97        384       16.1
     0.7     0.15 |       1345     118.12         98        423       22.1
     0.8     0.02 |        545     136.23        119        459       10.2
     0.8     0.04 |        960     131.54        111        639       17.0
     0.8     0.06 |        991     126.12        106        571       17.1
     0.8     0.08 |        988     121.30        102        566       17.7
     0.8     0.10 |        839     121.05        103        371       14.6
     0.8     0.12 |        924     119.88        101        361       15.5
     0.8     0.15 |        982     117.54         97        363       18.2

--- 迷宫 ---
地图大小: 30, 起点: [3,3], 终点: [27,21], 障碍物: 155
   alpha    d_ref |       扩展节点       路径代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------
     0.1     0.02 |        434      40.63         35         73        7.4
     0.1     0.04 |        442      40.63         35         73        6.4
     0.1     0.06 |        446      40.63         35         73        6.0
     0.1     0.08 |        448      40.63         35         72        6.0
     0.1     0.10 |        451      40.63         35         72        6.4
     0.1     0.12 |        452      40.63         35         71        6.2
     0.1     0.15 |        453      40.63         35         71        7.6
     0.2     0.02 |        400      40.63         35         81        6.2
     0.2     0.04 |        409      40.63         35         83        6.1
     0.2     0.06 |        424      40.63         35         83        6.0
     0.2     0.08 |        430      40.63         35         83        8.1
     0.2     0.10 |        435      40.63         35         83        6.5
     0.2     0.12 |        441      40.63         35         82        6.2
     0.2     0.15 |        445      40.63         35         78        6.7
     0.3     0.02 |        343      40.63         35         91        5.3
     0.3     0.04 |        369      40.63         35         85        5.4
     0.3     0.06 |        380      40.63         35         89        5.3
     0.3     0.08 |        404      40.63         35         85        5.5
     0.3     0.10 |        418      40.63         35         84        6.1
     0.3     0.12 |        424      40.63         35         82        6.8
     0.3     0.15 |        433      40.63         35         82        6.5
     0.4     0.02 |        262      40.63         35         85        4.1
     0.4     0.04 |        315      40.63         35         95        5.4
     0.4     0.06 |        340      40.63         35         91        5.0
     0.4     0.08 |        373      40.63         35         86        6.2
     0.4     0.10 |        388      40.63         35         85        5.6
     0.4     0.12 |        401      40.63         35         87        6.2
     0.4     0.15 |        418      40.63         35         83        5.6
     0.5     0.02 |        182      40.63         35         75        3.3
     0.5     0.04 |        215      40.63         35         88        3.5
     0.5     0.06 |        260      40.63         35        102        4.7
     0.5     0.08 |        326      40.63         35         93        4.8
     0.5     0.10 |        346      40.63         35         91        5.4
     0.5     0.12 |        370      40.63         35         89        5.7
     0.5     0.15 |        393      40.63         35         85        6.2
     0.6     0.02 |        155      40.63         35         82        3.7
     0.6     0.04 |        191      40.63         35         94        3.4
     0.6     0.06 |        216      40.63         35         87        3.6
     0.6     0.08 |        259      40.63         35        102        3.7
     0.6     0.10 |        277      40.63         35         95        4.1
     0.6     0.12 |        337      40.63         35         91        4.8
     0.6     0.15 |        365      40.63         35         89        5.2
     0.7     0.02 |        141      40.63         35         75        2.4
     0.7     0.04 |        173      40.63         35         82        2.7
     0.7     0.06 |        195      40.63         35         91        3.6
     0.7     0.08 |        223      40.63         35         89        3.3
     0.7     0.10 |        259      40.63         35        101        4.0
     0.7     0.12 |        271      40.63         35         96        3.9
     0.7     0.15 |        321      40.63         35         91        5.4
     0.8     0.02 |        128      40.63         35         77        2.2
     0.8     0.04 |        149      40.63         35         82        2.3
     0.8     0.06 |        186      40.63         35         90        3.5
     0.8     0.08 |        203      40.63         35         96        3.0
     0.8     0.10 |        226      40.63         35         90        3.8
     0.8     0.12 |        241      40.63         35         93        3.7
     0.8     0.15 |        278      40.63         35         94        4.5

