=== AStar_v1_2 alpha/d_ref 参数敏感性分析 ===
时间: 20260831_155648
总耗时: 1.7 秒

--- 实验配置 ---
地图: Map1, Map2_kong, 迷宫x80
alpha: [0.0, ..., 0.8] (9 级)
d_ref: [0.00, ..., 0.15] (8 级)
重复: 1 次
SimplifyPath: false
SmoothPath: false
热力图路径代价: 原始

--- 参数说明 ---
alpha: 最大额外权重 [0.1, 0.8]
       越大 → 开阔区域越贪心（路径更短但可能绕远）
       越小 → 越接近标准 A*（更稳定但搜索更慢）
d_ref: 障碍物距离阈值(占地图对角距离百分比) [0.02, 0.15]
       越小 → 障碍物影响范围越窄（只有紧贴障碍物才减速）
       越大 → 障碍物影响范围越广（提前减速，路径更安全）

--- Map1 ---
地图大小: 50, 起点: [3,3], 终点: [48,48], 障碍物: 585
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
     0.2     0.02 |        483     116.95     116.95         96        362        4.8
     0.2     0.04 |       1074     116.95     116.95         96        346        9.6
     0.2     0.06 |       1626     116.95     116.95         96        315       12.6
     0.2     0.08 |       1621     115.20     115.20         93        306       13.1
     0.2     0.10 |       1868     115.20     115.20         93        283       15.6
     0.2     0.12 |       1939     114.37     114.37         93        263       15.0
     0.2     0.15 |       1661     112.61     112.61         90        292       13.0
     0.3     0.00 |        128     113.20     113.20         91        266        2.1
     0.3     0.02 |        583     122.12     122.12        102        465        6.1
     0.3     0.04 |        847     120.12     120.12        100        362        7.4
     0.3     0.06 |        860     116.95     116.95         96        381        7.7
     0.3     0.08 |       1530     117.54     117.54         97        362       12.4
     0.3     0.10 |       1648     116.95     116.95         96        335       13.4
     0.3     0.12 |       1481     115.20     115.20         93        296       12.7
     0.3     0.15 |       1691     114.61     114.61         92        305       17.0
     0.4     0.00 |        117     114.02     114.02         91        268        2.1
     0.4     0.02 |        504     122.95     122.95        102        465        5.3
     0.4     0.04 |        662     120.12     120.12        100        421        6.9
     0.4     0.06 |        906     120.71     120.71        101        382        8.0
     0.4     0.08 |        762     116.37     116.37         95        400        7.3
     0.4     0.10 |       1290     117.54     117.54         97        357       10.3
     0.4     0.12 |       1443     116.95     116.95         96        344       11.6
     0.4     0.15 |       1536     115.78     115.78         94        337       12.5
     0.5     0.00 |        115     114.02     114.02         91        267        2.1
     0.5     0.02 |        688     125.78     125.78        104        636        7.3
     0.5     0.04 |        702     122.47     122.47        104        551        6.9
     0.5     0.06 |        711     120.71     120.71        101        396        8.3
     0.5     0.08 |        996     120.71     120.71        101        435        9.9
     0.5     0.10 |        753     116.37     116.37         95        410        6.9
     0.5     0.12 |       1058     116.95     116.95         96        407        8.9
     0.5     0.15 |       1567     117.54     117.54         97        353       13.3
     0.6     0.00 |        115     114.85     114.85         91        268        2.2
     0.6     0.02 |        379     136.67     136.67        124        353        4.1
     0.6     0.04 |        626     124.12     124.12        104        537        7.2
     0.6     0.06 |        681     122.71     122.71        103        511        6.7
     0.6     0.08 |        814     120.71     120.71        101        394        8.3
     0.6     0.10 |        976     120.71     120.71        101        419        9.9
     0.6     0.12 |        750     116.37     116.37         95        414        7.0
     0.6     0.15 |       1087     116.95     116.95         96        400        9.2
     0.7     0.00 |        110     114.85     114.85         91        269        2.0
     0.7     0.02 |        343     137.50     137.50        124        352        3.6
     0.7     0.04 |        732     124.12     124.12        104        653        7.4
     0.7     0.06 |        795     122.47     122.47        104        622        9.6
     0.7     0.08 |        668     120.12     120.12        100        443        7.4
     0.7     0.10 |        780     120.12     120.12        100        388        7.7
     0.7     0.12 |        999     120.71     120.71        101        425        8.5
     0.7     0.15 |        753     116.37     116.37         95        400        6.9
     0.8     0.00 |        114     114.85     114.85         91        270        2.1
     0.8     0.02 |        326     137.50     137.50        124        350        4.2
     0.8     0.04 |        735     125.54     125.54        105        633        8.6
     0.8     0.06 |        831     124.12     124.12        104        637        8.6
     0.8     0.08 |        776     123.30     123.30        104        533        7.9
     0.8     0.10 |        684     120.12     120.12        100        425        7.3
     0.8     0.12 |        818     120.12     120.12        100        391        7.2
