=== AStar_v1_1 alpha/d_ref 参数敏感性分析 ===
时间: 20260830_005413
总耗时: 2.0 秒

--- 实验配置 ---
地图: Map1, Map2_kong, 迷宫
alpha: [0.1, ..., 0.8] (8 级)
d_ref: [0.02, ..., 0.15] (7 级)
重复: 1 次

--- 参数说明 ---
alpha: 最大额外权重 [0.1, 0.8]
       越大 → 开阔区域越贪心（路径更短但可能绕远）
       越小 → 越接近标准 A*（更稳定但搜索更慢）
d_ref: 障碍物距离阈值(占地图对角距离百分比) [0.02, 0.15]
       越小 → 障碍物影响范围越窄（只有紧贴障碍物才减速）
       越大 → 障碍物影响范围越广（提前减速，路径更安全）

--- Map1 ---
地图大小: 50, 起点: [3,3], 终点: [48,48], 障碍物: 585
   alpha    d_ref |       扩展节点       路径代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------
     0.1     0.02 |        641      76.53         68        101       44.8
     0.1     0.04 |        687      76.53         68         96       15.4
     0.1     0.06 |        713      76.53         68         97       12.9
     0.1     0.08 |        724      76.53         68         99       13.0
     0.1     0.10 |        732      76.53         68        102       22.7
     0.1     0.12 |        743      76.53         68        103       12.1
     0.1     0.15 |        747      76.53         68        101       15.9
     0.2     0.02 |        394      76.53         68        148        8.0
     0.2     0.04 |        566      76.53         68        126       10.1
     0.2     0.06 |        618      76.53         68        110       11.9
     0.2     0.08 |        644      76.53         68        103       13.3
     0.2     0.10 |        695      76.53         68        104       18.7
     0.2     0.12 |        702      76.53         68         99       12.8
     0.2     0.15 |        718      76.53         68         97       11.6
     0.3     0.02 |        326      78.53         70        152        5.4
     0.3     0.04 |        474      77.94         69        146        8.5
     0.3     0.06 |        577      77.94         69        116       11.4
     0.3     0.08 |        579      76.53         68        126        9.5
     0.3     0.10 |        613      76.53         68        107        8.9
     0.3     0.12 |        636      76.53         68        103       11.5
     0.3     0.15 |        671      76.53         68        113        9.2
     0.4     0.02 |        236      79.94         71        181        4.8
     0.4     0.04 |        413      79.11         71        172        8.4
     0.4     0.06 |        449      77.94         69        158        7.7
     0.4     0.08 |        546      77.94         69        127        8.4
     0.4     0.10 |        572      77.11         69        122        8.3
     0.4     0.12 |        591      76.53         68        124        9.5
     0.4     0.15 |        625      76.53         68        106        9.3
     0.5     0.02 |        185      79.11         71        184        4.7
     0.5     0.04 |        289      79.94         71        177        6.8
     0.5     0.06 |        436      79.11         71        172        6.8
     0.5     0.08 |        447      77.94         69        162        8.6
     0.5     0.10 |        531      77.94         69        134        7.7
     0.5     0.12 |        584      77.94         69        118        9.5
     0.5     0.15 |        584      76.53         68        130        8.1
     0.6     0.02 |        184      81.70         74        192        4.7
     0.6     0.04 |        242      79.94         71        198        4.7
     0.6     0.06 |        311      79.11         71        173        5.1
     0.6     0.08 |        449      79.11         71        172        7.7
     0.6     0.10 |        446      77.94         69        164        6.8
     0.6     0.12 |        521      77.94         69        139        8.5
     0.6     0.15 |        590      77.94         69        123        8.9
     0.7     0.02 |        188      82.53         74        190        4.8
     0.7     0.04 |        202      80.53         72        199        4.3
     0.7     0.06 |        286      79.94         71        183        5.8
     0.7     0.08 |        394      79.11         71        185        6.9
     0.7     0.10 |        454      79.11         71        171        7.9
     0.7     0.12 |        447      77.94         69        163        6.7
     0.7     0.15 |        531      77.94         69        135        8.6
     0.8     0.02 |        210      81.70         74        198        4.1
     0.8     0.04 |        204      81.36         72        200        5.0
     0.8     0.06 |        247      79.94         71        206        4.8
     0.8     0.08 |        313      79.94         71        175        5.3
     0.8     0.10 |        400      79.11         71        186        6.9
     0.8     0.12 |        455      79.11         71        172        7.3
     0.8     0.15 |        471      77.94         69        156        7.2

--- Map2_kong ---
地图大小: 80, 起点: [4,4], 终点: [77,77], 障碍物: 1559
   alpha    d_ref |       扩展节点       路径代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------
     0.1     0.02 |       1478     114.95         94        286       23.6
     0.1     0.04 |       1631     113.20         91        298       58.1
     0.1     0.06 |       1782     112.61         90        274       26.7
     0.1     0.08 |       1784     112.02         89        265       26.2
     0.1     0.10 |       1804     111.44         88        274       26.7
     0.1     0.12 |       1831     111.44         88        267       26.9
     0.1     0.15 |       1865     111.44         88        261       26.7
     0.2     0.02 |        746     117.88         99        311       13.7
     0.2     0.04 |       1038     114.95         94        327       17.2
     0.2     0.06 |       1465     114.37         93        305       24.8
     0.2     0.08 |       1833     114.95         94        266       27.5
     0.2     0.10 |       1725     113.78         92        281       26.1
     0.2     0.12 |       1788     113.20         91        265       25.6
     0.2     0.15 |       1824     112.61         90        284       27.4
     0.3     0.02 |        663     123.05        105        381       12.3
     0.3     0.04 |        921     118.12         98        375       16.7
     0.3     0.06 |       1171     116.71         97        344       20.5
     0.3     0.08 |       1206     114.95         94        338       20.2
     0.3     0.10 |       1488     114.37         93        306       24.6
     0.3     0.12 |       1735     114.95         94        274       25.8
     0.3     0.15 |       1795     114.37         93        260       27.2
     0.4     0.02 |        621     125.30        106        488       12.7
     0.4     0.04 |       1222     120.71        101        445       21.7
     0.4     0.06 |        895     117.54         97        386       16.7
     0.4     0.08 |       1549     118.47        100        432       25.8
     0.4     0.10 |       1133     115.54         95        317       23.3
     0.4     0.12 |       1343     114.95         94        330       24.5
     0.4     0.15 |       1521     114.37         93        292       23.8
     0.5     0.02 |        639     129.30        110        529       12.2
     0.5     0.04 |        778     122.47        104        499       15.4
     0.5     0.06 |       1308     122.47        104        448       22.4
     0.5     0.08 |        921     117.54         97        386       18.2
     0.5     0.10 |       1247     118.12         98        376       20.6
     0.5     0.12 |       1282     116.71         97        341       22.6
     0.5     0.15 |       1308     114.95         94        349       21.2
     0.6     0.02 |        578     132.47        114        450       11.8
     0.6     0.04 |        914     126.12        106        552       17.3
     0.6     0.06 |       1038     123.64        106        477       18.6
     0.6     0.08 |        895     119.88        101        402       16.4
     0.6     0.10 |        929     117.54         97        384       15.9
     0.6     0.12 |       1222     118.12         98        381       19.9
     0.6     0.15 |       1293     116.71         97        341       21.0
     0.7     0.02 |        540     136.23        119        452       11.9
     0.7     0.04 |        673     126.71        107        525       13.1
     0.7     0.06 |        999     121.30        102        548       19.4
     0.7     0.08 |        941     120.71        101        428       17.8
     0.7     0.10 |        897     119.88        101        373       19.8
     0.7     0.12 |        932     117.54         97        384       16.3
     0.7     0.15 |       1345     118.12         98        423       22.6
     0.8     0.02 |        545     136.23        119        459       11.5
     0.8     0.04 |        960     131.54        111        639       18.1
     0.8     0.06 |        991     126.12        106        571       17.9
     0.8     0.08 |        988     121.30        102        566       18.3
     0.8     0.10 |        839     121.05        103        371       14.5
     0.8     0.12 |        924     119.88        101        361       17.4
     0.8     0.15 |        982     117.54         97        363       16.9

--- 迷宫 ---
