=== AStar_v1_1 alpha/d_ref 参数敏感性分析 ===
时间: 20260830_164948
总耗时: 2.3 秒

--- 实验配置 ---
地图: Map1, Map2_kong, 迷宫
alpha: [0.0, ..., 0.8] (9 级)
d_ref: [0.00, ..., 0.15] (8 级)
重复: 1 次
SimplifyPath: false
SmoothPath: false
热力图路径代价: 原始

--- 参数说明 ---
alpha: 最大额外权重 [0.1, 0.8]
       越大 → 开阔区域越贪心（路径更短但可能绕远）
       越小 → 越接近标准 A*（更稳定但搜索更慢）
d_ref: 障碍物距离阈值(占地图对角距离百分比) [0.02, 0.15]
       越小 → 障碍物影响范围越窄（只有紧贴障碍物才减速）
       越大 → 障碍物影响范围越广（提前减速，路径更安全）

--- Map1 ---
地图大小: 50, 起点: [3,3], 终点: [48,48], 障碍物: 585
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
     0.2     0.02 |        746     117.88     117.88         99        311       13.8
     0.2     0.04 |       1038     114.95     114.95         94        327       17.1
     0.2     0.06 |       1465     114.37     114.37         93        305       23.7
     0.2     0.08 |       1833     114.95     114.95         94        266       27.4
     0.2     0.10 |       1725     113.78     113.78         92        281       25.4
     0.2     0.12 |       1788     113.20     113.20         91        265       25.8
     0.2     0.15 |       1824     112.61     112.61         90        284       27.6
     0.3     0.00 |        128     113.20     113.20         91        266        3.9
     0.3     0.02 |        663     123.05     123.05        105        381       12.7
     0.3     0.04 |        921     118.12     118.12         98        375       16.1
     0.3     0.06 |       1171     116.71     116.71         97        344       19.1
     0.3     0.08 |       1206     114.95     114.95         94        338       20.4
     0.3     0.10 |       1488     114.37     114.37         93        306       24.7
     0.3     0.12 |       1735     114.95     114.95         94        274       26.1
     0.3     0.15 |       1795     114.37     114.37         93        260       25.9
     0.4     0.00 |        117     114.02     114.02         91        268        4.0
     0.4     0.02 |        621     125.30     125.30        106        488       11.7
     0.4     0.04 |       1222     120.71     120.71        101        445       21.3
     0.4     0.06 |        895     117.54     117.54         97        386       16.3
     0.4     0.08 |       1549     118.47     118.47        100        432       25.1
     0.4     0.10 |       1133     115.54     115.54         95        317       18.7
     0.4     0.12 |       1343     114.95     114.95         94        330       21.1
     0.4     0.15 |       1521     114.37     114.37         93        292       24.8
     0.5     0.00 |        115     114.02     114.02         91        267        3.9
     0.5     0.02 |        639     129.30     129.30        110        529       12.6
     0.5     0.04 |        778     122.47     122.47        104        499       14.3
     0.5     0.06 |       1308     122.47     122.47        104        448       21.2
     0.5     0.08 |        921     117.54     117.54         97        386       15.8
     0.5     0.10 |       1247     118.12     118.12         98        376       21.9
     0.5     0.12 |       1282     116.71     116.71         97        341       20.2
     0.5     0.15 |       1308     114.95     114.95         94        349       22.6
     0.6     0.00 |        115     114.85     114.85         91        268        3.9
     0.6     0.02 |        578     132.47     132.47        114        450       12.3
     0.6     0.04 |        914     126.12     126.12        106        552       17.8
     0.6     0.06 |       1038     123.64     123.64        106        477       20.0
     0.6     0.08 |        895     119.88     119.88        101        402       15.8
     0.6     0.10 |        929     117.54     117.54         97        384       17.0
     0.6     0.12 |       1222     118.12     118.12         98        381       20.8
     0.6     0.15 |       1293     116.71     116.71         97        341       20.4
     0.7     0.00 |        110     114.85     114.85         91        269        4.1
     0.7     0.02 |        540     136.23     136.23        119        452       10.9
     0.7     0.04 |        673     126.71     126.71        107        525       12.5
     0.7     0.06 |        999     121.30     121.30        102        548       18.2
     0.7     0.08 |        941     120.71     120.71        101        428       17.3
     0.7     0.10 |        897     119.88     119.88        101        373       16.5
     0.7     0.12 |        932     117.54     117.54         97        384       15.7
     0.7     0.15 |       1345     118.12     118.12         98        423       23.4
     0.8     0.00 |        114     114.85     114.85         91        270        4.0
     0.8     0.02 |        545     136.23     136.23        119        459       10.2
     0.8     0.04 |        960     131.54     131.54        111        639       17.0
     0.8     0.06 |        991     126.12     126.12        106        571       17.9
     0.8     0.08 |        988     121.30     121.30        102        566       19.2
     0.8     0.10 |        839     121.05     121.05        103        371       14.9
     0.8     0.12 |        924     119.88     119.88        101        361       17.0
     0.8     0.15 |        982     117.54     117.54         97        363       16.3

--- 迷宫 ---
地图大小: 30, 起点: [3,3], 终点: [27,21], 障碍物: 155
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.0     0.00 |        464      40.63      40.63         35         67        5.8
     0.0     0.02 |        464      40.63      40.63         35         67        5.7
     0.0     0.04 |        464      40.63      40.63         35         67        6.3
     0.0     0.06 |        464      40.63      40.63         35         67        6.0
     0.0     0.08 |        464      40.63      40.63         35         67        5.6
     0.0     0.10 |        464      40.63      40.63         35         67        7.1
     0.0     0.12 |        464      40.63      40.63         35         67        6.3
     0.0     0.15 |        464      40.63      40.63         35         67        5.9
     0.1     0.00 |        425      40.63      40.63         35         72        5.6
     0.1     0.02 |        434      40.63      40.63         35         73        6.7
     0.1     0.04 |        442      40.63      40.63         35         73        6.3
     0.1     0.06 |        446      40.63      40.63         35         73        6.4
     0.1     0.08 |        448      40.63      40.63         35         72        6.9
     0.1     0.10 |        451      40.63      40.63         35         72        6.6
     0.1     0.12 |        452      40.63      40.63         35         71        6.2
     0.1     0.15 |        453      40.63      40.63         35         71        6.2
     0.2     0.00 |        393      40.63      40.63         35         83        5.6
     0.2     0.02 |        400      40.63      40.63         35         81        5.6
     0.2     0.04 |        409      40.63      40.63         35         83        5.9
     0.2     0.06 |        424      40.63      40.63         35         83        5.8
     0.2     0.08 |        430      40.63      40.63         35         83        5.8
     0.2     0.10 |        435      40.63      40.63         35         83        6.2
     0.2     0.12 |        441      40.63      40.63         35         82        7.2
     0.2     0.15 |        445      40.63      40.63         35         78        6.2
     0.3     0.00 |        341      40.63      40.63         35         92        5.3
     0.3     0.02 |        343      40.63      40.63         35         91        5.3
